#note=RunB (every5): one CE baseline + one CEGS per dataset; Long-tail (exp, factor=100) on CIFAR10/100/SVHN. Best params. ImageNet 32x32, no LT.
dataset	seed	stop	stop_val	lr	momentum	batch	workers	half_prec	variants	type	stage1_epochs	stage2_epochs	loss_stage1	loss_stage2	pe_mode	ecg_conf_type	ecg_detach_gates	ecg_schedule	ecg_lam_start	ecg_lam_end	ecg_tau_start	ecg_tau_end	ecg_k_start	ecg_k_end	force_run	method_name	run_kind	env_IMAGENET_ORIGINAL	env_IMAGENET_RES	env_IMAGENET_DS_ROOT	env_DL_WORKERS	env_IMAGENET_TORCHVISION	wandb_project	wandb_group	wandb_name	eval_extra_every	eval_adv_suite	adv_attacks	adv_eps	adv_steps	adv_restarts	adv_alpha	adv_pixel	eval_c_suite	c_corruptions	c_severities	c_name	c_severity	imbalance	imb_factor	imb_seed	dump_gates	dump_gates_n
binaryCifar10	0	epochs	150	0.01	0.9	64	0	False	none	std	150	0	ce	ce	logk_rms	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline						ecg_binary_pmax	RunB_LT_ADV_C	binaryCifar10_CE_T150_RunB_LT_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
binaryCifar10	0	epochs	150	0.01	0.9	64	0	False	none	std	40	110	ecg	ce	logk_rms	pmax	True	linear	auto_dw	0.05	auto_q	0.70	20	20	True	binaryCifar10_autoDW005_q70_k20_ecg40_ce110	best						ecg_binary_pmax	RunB_LT_ADV_C	binaryCifar10_autoDW005_q70_k20_ecg40_ce110_RunB	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
cifar10	0	epochs	60	0.01	0.9	64	0	False	none	std	60	0	ce	ce	none	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline						ecg-cifar10	RunB_LT_ADV_C	cifar10_CE_T60_RunB_LT_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
cifar10	0	epochs	60	0.01	0.9	64	0	False	none	std	60	0	ecg	ecg	none	pmax	True	linear	auto_dw	0.05	auto_q	0.80	20	20	True	cifar10_autoDW005_q80_k20	best						ecg-cifar10	RunB_LT_ADV_C	cifar10_autoDW005_q80_k20_RunB	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	60	0	ce	ce	logk_rms	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline						ecg-cifar100-pmax	RunB_LT_ADV_C	cifar100_CE_T60_RunB_LT_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	60	0	ecg	ecg	logk_rms	pmax	True	linear	auto_dw	0.05	auto_q	0.80	20	20	True	cifar100_autoDW005_q80_k20	best						ecg-cifar100-pmax	RunB_LT_ADV_C	cifar100_autoDW005_q80_k20_RunB	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ce	ce	logk_rms	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline						ecg-svhn-pmax	RunB_LT_ADV_C	svhn_CE_T60_RunB_LT_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					exp	100	0	True	2000
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ecg	ecg	logk_rms	pmax	True	linear	auto_dw	0.05	auto_q	0.60	20	20	True	svhn_autoDW005_q60_k20	best						ecg-svhn-pmax	RunB_LT_ADV_C	svhn_autoDW005_q60_k20_RunB	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					exp	100	0	True	2000
imageNet	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ce	ce	logk_rms	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline	0	32	/ocean/projects/cis260049p/zliu49/cegs_data/smallimagenet_32	0	0	cegs-imageNet32-pmax	RunB_LT_ADV_C	imageNet32_CE_T60_RunB_LT_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
imageNet	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ecg	ecg	logk_rms	pmax	True	linear	auto_dw	0.05	auto_q	0.70	20	20	True	imnet1k32_autoDW005_q70_k20	best	0	32	/ocean/projects/cis260049p/zliu49/cegs_data/smallimagenet_32	0	0	cegs-imageNet32-pmax	RunB_LT_ADV_C	imnet1k32_autoDW005_q70_k20_RunB	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
